Time,Region,"Annual employment growth, %"
2017-01-01,London,1.628
2017-02-01,London,1.585
2017-03-01,London,1.646
2017-04-01,London,1.680
2017-05-01,London,1.593
2017-06-01,London,1.582
2017-07-01,London,1.551
2017-08-01,London,1.594
2017-09-01,London,1.645
2017-10-01,London,1.702
2017-11-01,London,1.674
2017-12-01,London,1.587
2018-01-01,London,1.616
2018-02-01,London,1.467
2018-03-01,London,1.328
2018-04-01,London,1.445
2018-05-01,London,1.528
2018-06-01,London,1.454
2018-07-01,London,1.492
2018-08-01,London,1.525
2018-09-01,London,1.444
2018-10-01,London,1.508
2018-11-01,London,1.672
2018-12-01,London,1.657
2019-01-01,London,1.613
2019-02-01,London,1.813
2019-03-01,London,2.142
2019-04-01,London,2.021
2019-05-01,London,1.834
2019-06-01,London,1.826
2019-07-01,London,1.737
2019-08-01,London,1.773
2019-09-01,London,1.944
2019-10-01,London,1.854
2019-11-01,London,1.687
2019-12-01,London,1.790
2020-01-01,London,1.808
2020-02-01,London,1.677
2020-03-01,London,1.221
2020-04-01,London,-0.820
2020-05-01,London,-1.588
2020-06-01,London,-2.081
2020-07-01,London,-2.531
2020-08-01,London,-3.210
2020-09-01,London,-4.069
2020-10-01,London,-4.652
2020-11-01,London,-5.434
2020-12-01,London,-5.570
2021-01-01,London,-5.767
2021-02-01,London,-5.925
2021-03-01,London,-5.704
2021-04-01,London,-3.428
2021-05-01,London,-1.825
2021-06-01,London,-0.021
2017-01-01,UK,1.186
2017-02-01,UK,1.218
2017-03-01,UK,1.277
2017-04-01,UK,1.390
2017-05-01,UK,1.325
2017-06-01,UK,1.304
2017-07-01,UK,1.240
2017-08-01,UK,1.358
2017-09-01,UK,1.374
2017-10-01,UK,1.388
2017-11-01,UK,1.385
2017-12-01,UK,1.370
2018-01-01,UK,1.403
2018-02-01,UK,1.310
2018-03-01,UK,1.189
2018-04-01,UK,1.174
2018-05-01,UK,1.109
2018-06-01,UK,1.048
2018-07-01,UK,1.113
2018-08-01,UK,1.132
2018-09-01,UK,1.048
2018-10-01,UK,1.059
2018-11-01,UK,1.138
2018-12-01,UK,1.041
2019-01-01,UK,1.086
2019-02-01,UK,1.185
2019-03-01,UK,1.360
2019-04-01,UK,1.228
2019-05-01,UK,1.153
2019-06-01,UK,1.094
2019-07-01,UK,0.931
2019-08-01,UK,0.920
2019-09-01,UK,1.015
2019-10-01,UK,0.936
2019-11-01,UK,0.759
2019-12-01,UK,0.826
2020-01-01,UK,0.872
2020-02-01,UK,0.754
2020-03-01,UK,0.481
2020-04-01,UK,-1.143
2020-05-01,UK,-1.756
2020-06-01,UK,-1.956
2020-07-01,UK,-2.055
2020-08-01,UK,-2.395
2020-09-01,UK,-2.689
2020-10-01,UK,-2.813
2020-11-01,UK,-3.110
2020-12-01,UK,-3.038
2021-01-01,UK,-3.128
2021-02-01,UK,-3.098
2021-03-01,UK,-2.867
2021-04-01,UK,-0.942
2021-05-01,UK,0.442
2021-06-01,UK,1.911
