Time,Region,Value,Details
Jan-17,UK,0.29084184,"Employees on payroll, percentage change on same month in previous year, seasonally adjusted, UK, January 2017 to June 2021"
Feb-17,UK,0.42848606,
Mar-17,UK,0.49067895,
Apr-17,UK,0.58467871,
May-17,UK,0.48174808,
Jun-17,UK,0.58790075,
Jul-17,UK,0.51581108,
Aug-17,UK,0.71279899,
Sep-17,UK,0.79810465,
Oct-17,UK,0.85578686,
Nov-17,UK,0.81226179,
Dec-17,UK,0.90549677,
Jan-18,UK,0.92434076,
Feb-18,UK,0.7949275,
Mar-18,UK,0.62229174,
Apr-18,UK,0.61180477,
May-18,UK,0.5801673,
Jun-18,UK,0.51220877,
Jul-18,UK,0.57084419,
Aug-18,UK,0.54888776,
Sep-18,UK,0.36474316,
Oct-18,UK,0.32848894,
Nov-18,UK,0.37354351,
Dec-18,UK,0.09455146,
Jan-19,UK,0.22455033,
Feb-19,UK,0.2806298,
Mar-19,UK,0.35316162,
Apr-19,UK,0.18744358,
May-19,UK,0.20824016,
Jun-19,UK,0.13686324,
Jul-19,UK,-0.00552068,
Aug-19,UK,0.09065435,
Sep-19,UK,0.357221,
Oct-19,UK,0.35694038,
Nov-19,UK,0.23297366,
Dec-19,UK,0.3007745,
Jan-20,UK,0.49000989,
Feb-20,UK,0.57952427,
Mar-20,UK,0.53588988,
Apr-20,UK,-1.0441981,
May-20,UK,-1.40869675,
Jun-20,UK,-1.43804407,
Jul-20,UK,-1.3767933,
Aug-20,UK,-1.66004718,
Sep-20,UK,-1.91005268,
Oct-20,UK,-2.0276647,
Nov-20,UK,-2.1779068,
Dec-20,UK,-1.99556996,
Jan-21,UK,-2.01497981,
Feb-21,UK,-2.11147428,
Mar-21,UK,-1.82456751,
Apr-21,UK,0.15390654,
May-21,UK,1.21406101,
Jun-21,UK,2.41376594,
Jan-17,North East,0.29084184,
Feb-17,North East,0.42848606,
Mar-17,North East,0.49067895,
Apr-17,North East,0.58467871,
May-17,North East,0.48174808,
Jun-17,North East,0.58790075,
Jul-17,North East,0.51581108,
Aug-17,North East,0.71279899,
Sep-17,North East,0.79810465,
Oct-17,North East,0.85578686,
Nov-17,North East,0.81226179,
Dec-17,North East,0.90549677,
Jan-18,North East,0.92434076,
Feb-18,North East,0.7949275,
Mar-18,North East,0.62229174,
Apr-18,North East,0.61180477,
May-18,North East,0.5801673,
Jun-18,North East,0.51220877,
Jul-18,North East,0.57084419,
Aug-18,North East,0.54888776,
Sep-18,North East,0.36474316,
Oct-18,North East,0.32848894,
Nov-18,North East,0.37354351,
Dec-18,North East,0.09455146,
Jan-19,North East,0.22455033,
Feb-19,North East,0.2806298,
Mar-19,North East,0.35316162,
Apr-19,North East,0.18744358,
May-19,North East,0.20824016,
Jun-19,North East,0.13686324,
Jul-19,North East,-0.00552068,
Aug-19,North East,0.09065435,
Sep-19,North East,0.357221,
Oct-19,North East,0.35694038,
Nov-19,North East,0.23297366,
Dec-19,North East,0.3007745,
Jan-20,North East,0.49000989,
Feb-20,North East,0.57952427,
Mar-20,North East,0.53588988,
Apr-20,North East,-1.0441981,
May-20,North East,-1.40869675,
Jun-20,North East,-1.43804407,
Jul-20,North East,-1.3767933,
Aug-20,North East,-1.66004718,
Sep-20,North East,-1.91005268,
Oct-20,North East,-2.0276647,
Nov-20,North East,-2.1779068,
Dec-20,North East,-1.99556996,
Jan-21,North East,-2.01497981,
Feb-21,North East,-2.11147428,
Mar-21,North East,-1.82456751,
Apr-21,North East,0.15390654,
May-21,North East,1.21406101,
Jun-21,North East,2.41376594,
Jan-17,North West,1.08923807,
Feb-17,North West,1.14132731,
Mar-17,North West,1.19253132,
Apr-17,North West,1.37731605,
May-17,North West,1.34347211,
Jun-17,North West,1.35868074,
Jul-17,North West,1.41595945,
Aug-17,North West,1.5856973,
Sep-17,North West,1.6389292,
Oct-17,North West,1.68051826,
Nov-17,North West,1.71441382,
Dec-17,North West,1.72022871,
Jan-18,North West,1.72634161,
Feb-18,North West,1.63168442,
Mar-18,North West,1.57648206,
Apr-18,North West,1.40726012,
May-18,North West,1.34384004,
Jun-18,North West,1.3014069,
Jul-18,North West,1.29654241,
Aug-18,North West,1.36182825,
Sep-18,North West,1.26863987,
Oct-18,North West,1.23230145,
Nov-18,North West,1.23064314,
Dec-18,North West,1.10502983,
Jan-19,North West,1.11733518,
Feb-19,North West,1.22155085,
Mar-19,North West,1.22478654,
Apr-19,North West,1.28559467,
May-19,North West,1.18175432,
Jun-19,North West,1.0529362,
Jul-19,North West,0.89354637,
Aug-19,North West,0.78636743,
Sep-19,North West,0.8878307,
Oct-19,North West,0.81882201,
Nov-19,North West,0.69079303,
Dec-19,North West,0.74716022,
Jan-20,North West,0.77364233,
Feb-20,North West,0.66641138,
Mar-20,North West,0.53652063,
Apr-20,North West,-1.07784883,
May-20,North West,-1.40970095,
Jun-20,North West,-1.48490484,
Jul-20,North West,-1.53102567,
Aug-20,North West,-1.74104446,
Sep-20,North West,-1.98626759,
Oct-20,North West,-2.06741174,
Nov-20,North West,-2.34921387,
Dec-20,North West,-2.18924634,
Jan-21,North West,-2.19116577,
Feb-21,North West,-2.0722723,
Mar-21,North West,-1.91485334,
Apr-21,North West,-0.19253301,
May-21,North West,1.038721,
Jun-21,North West,2.30709747,
Jan-17,Yorkshire and the Humber,1.13603558,
Feb-17,Yorkshire and the Humber,1.09154315,
Mar-17,Yorkshire and the Humber,1.17947742,
Apr-17,Yorkshire and the Humber,1.29501827,
May-17,Yorkshire and the Humber,1.14055906,
Jun-17,Yorkshire and the Humber,1.18145265,
Jul-17,Yorkshire and the Humber,1.15068984,
Aug-17,Yorkshire and the Humber,1.21961416,
Sep-17,Yorkshire and the Humber,1.27768442,
Oct-17,Yorkshire and the Humber,1.31934594,
Nov-17,Yorkshire and the Humber,1.24810685,
Dec-17,Yorkshire and the Humber,1.27187349,
Jan-18,Yorkshire and the Humber,1.27025293,
Feb-18,Yorkshire and the Humber,1.26699646,
Mar-18,Yorkshire and the Humber,1.08253052,
Apr-18,Yorkshire and the Humber,1.07377957,
May-18,Yorkshire and the Humber,1.11071905,
Jun-18,Yorkshire and the Humber,1.0602774,
Jul-18,Yorkshire and the Humber,1.05958989,
Aug-18,Yorkshire and the Humber,1.08287046,
Sep-18,Yorkshire and the Humber,1.04746803,
Oct-18,Yorkshire and the Humber,1.03902003,
Nov-18,Yorkshire and the Humber,1.17220517,
Dec-18,Yorkshire and the Humber,1.08617234,
Jan-19,Yorkshire and the Humber,1.21624352,
Feb-19,Yorkshire and the Humber,1.3778567,
Mar-19,Yorkshire and the Humber,1.64283056,
Apr-19,Yorkshire and the Humber,1.28906943,
May-19,Yorkshire and the Humber,1.16216137,
Jun-19,Yorkshire and the Humber,1.11076823,
Jul-19,Yorkshire and the Humber,0.98793905,
Aug-19,Yorkshire and the Humber,1.04754025,
Sep-19,Yorkshire and the Humber,1.10745306,
Oct-19,Yorkshire and the Humber,0.99067988,
Nov-19,Yorkshire and the Humber,0.75658643,
Dec-19,Yorkshire and the Humber,0.732826,
Jan-20,Yorkshire and the Humber,0.78400351,
Feb-20,Yorkshire and the Humber,0.62544115,
Mar-20,Yorkshire and the Humber,0.39267856,
Apr-20,Yorkshire and the Humber,-1.03484112,
May-20,Yorkshire and the Humber,-1.64700834,
Jun-20,Yorkshire and the Humber,-1.74199274,
Jul-20,Yorkshire and the Humber,-1.78321798,
Aug-20,Yorkshire and the Humber,-2.00656558,
Sep-20,Yorkshire and the Humber,-2.26359672,
Oct-20,Yorkshire and the Humber,-2.26270388,
Nov-20,Yorkshire and the Humber,-2.54776462,
Dec-20,Yorkshire and the Humber,-2.45224083,
Jan-21,Yorkshire and the Humber,-2.46381553,
Feb-21,Yorkshire and the Humber,-2.47015202,
Mar-21,Yorkshire and the Humber,-2.27492852,
Apr-21,Yorkshire and the Humber,-0.34659383,
May-21,Yorkshire and the Humber,0.95906254,
Jun-21,Yorkshire and the Humber,2.37259462,
Jan-17,East Midlands,1.5269302,
Feb-17,East Midlands,1.46938505,
Mar-17,East Midlands,1.5187125,
Apr-17,East Midlands,1.67462443,
May-17,East Midlands,1.64926321,
Jun-17,East Midlands,1.63082355,
Jul-17,East Midlands,1.44013999,
Aug-17,East Midlands,1.58323658,
Sep-17,East Midlands,1.60364506,
Oct-17,East Midlands,1.61213374,
Nov-17,East Midlands,1.5651386,
Dec-17,East Midlands,1.61516782,
Jan-18,East Midlands,1.66165532,
Feb-18,East Midlands,1.60226739,
Mar-18,East Midlands,1.51922921,
Apr-18,East Midlands,1.50015025,
May-18,East Midlands,1.43091876,
Jun-18,East Midlands,1.36351561,
Jul-18,East Midlands,1.47221299,
Aug-18,East Midlands,1.37412754,
Sep-18,East Midlands,1.27799387,
Oct-18,East Midlands,1.13337555,
Nov-18,East Midlands,1.14366681,
Dec-18,East Midlands,0.93738309,
Jan-19,East Midlands,0.85622842,
Feb-19,East Midlands,0.79304334,
Mar-19,East Midlands,0.85664403,
Apr-19,East Midlands,1.28590809,
May-19,East Midlands,1.11578125,
Jun-19,East Midlands,0.93307286,
Jul-19,East Midlands,0.64292931,
Aug-19,East Midlands,0.58979483,
Sep-19,East Midlands,0.64349835,
Oct-19,East Midlands,0.59628252,
Nov-19,East Midlands,0.43366,
Dec-19,East Midlands,0.51588527,
Jan-20,East Midlands,0.64970317,
Feb-20,East Midlands,0.64891724,
Mar-20,East Midlands,0.4228732,
Apr-20,East Midlands,-1.73776154,
May-20,East Midlands,-2.1241507,
Jun-20,East Midlands,-2.07321851,
Jul-20,East Midlands,-1.93541264,
Aug-20,East Midlands,-1.98308585,
Sep-20,East Midlands,-2.15635419,
Oct-20,East Midlands,-2.09276275,
Nov-20,East Midlands,-2.27919032,
Dec-20,East Midlands,-2.10935298,
Jan-21,East Midlands,-2.14383385,
Feb-21,East Midlands,-2.04458449,
Mar-21,East Midlands,-1.75104617,
Apr-21,East Midlands,0.08359043,
