Time,Region,"Annual employment growth, %"
Jan-17,East Midlands,1.527
Feb-17,East Midlands,1.469
Mar-17,East Midlands,1.519
Apr-17,East Midlands,1.675
May-17,East Midlands,1.649
Jun-17,East Midlands,1.631
Jul-17,East Midlands,1.440
Aug-17,East Midlands,1.583
Sep-17,East Midlands,1.604
Oct-17,East Midlands,1.612
Nov-17,East Midlands,1.565
Dec-17,East Midlands,1.615
Jan-18,East Midlands,1.662
Feb-18,East Midlands,1.602
Mar-18,East Midlands,1.519
Apr-18,East Midlands,1.500
May-18,East Midlands,1.431
Jun-18,East Midlands,1.364
Jul-18,East Midlands,1.472
Aug-18,East Midlands,1.374
Sep-18,East Midlands,1.278
Oct-18,East Midlands,1.133
Nov-18,East Midlands,1.144
Dec-18,East Midlands,0.937
Jan-19,East Midlands,0.856
Feb-19,East Midlands,0.793
Mar-19,East Midlands,0.857
Apr-19,East Midlands,1.286
May-19,East Midlands,1.116
Jun-19,East Midlands,0.933
Jul-19,East Midlands,0.643
Aug-19,East Midlands,0.590
Sep-19,East Midlands,0.643
Oct-19,East Midlands,0.596
Nov-19,East Midlands,0.434
Dec-19,East Midlands,0.516
Jan-20,East Midlands,0.650
Feb-20,East Midlands,0.649
Mar-20,East Midlands,0.423
Apr-20,East Midlands,-1.738
May-20,East Midlands,-2.124
Jun-20,East Midlands,-2.073
Jul-20,East Midlands,-1.935
Aug-20,East Midlands,-1.983
Sep-20,East Midlands,-2.156
Oct-20,East Midlands,-2.093
Nov-20,East Midlands,-2.279
Dec-20,East Midlands,-2.109
Jan-21,East Midlands,-2.144
Feb-21,East Midlands,-2.045
Mar-21,East Midlands,-1.751
Apr-21,East Midlands,0.084
May-21,East Midlands,1.290
Jun-21,East Midlands,2.551
Jan-17,UK,1.186
Feb-17,UK,1.218
Mar-17,UK,1.277
Apr-17,UK,1.390
May-17,UK,1.325
Jun-17,UK,1.304
Jul-17,UK,1.240
Aug-17,UK,1.358
Sep-17,UK,1.374
Oct-17,UK,1.388
Nov-17,UK,1.385
Dec-17,UK,1.370
Jan-18,UK,1.403
Feb-18,UK,1.310
Mar-18,UK,1.189
Apr-18,UK,1.174
May-18,UK,1.109
Jun-18,UK,1.048
Jul-18,UK,1.113
Aug-18,UK,1.132
Sep-18,UK,1.048
Oct-18,UK,1.059
Nov-18,UK,1.138
Dec-18,UK,1.041
Jan-19,UK,1.086
Feb-19,UK,1.185
Mar-19,UK,1.360
Apr-19,UK,1.228
May-19,UK,1.153
Jun-19,UK,1.094
Jul-19,UK,0.931
Aug-19,UK,0.920
Sep-19,UK,1.015
Oct-19,UK,0.936
Nov-19,UK,0.759
Dec-19,UK,0.826
Jan-20,UK,0.872
Feb-20,UK,0.754
Mar-20,UK,0.481
Apr-20,UK,-1.143
May-20,UK,-1.756
Jun-20,UK,-1.956
Jul-20,UK,-2.055
Aug-20,UK,-2.395
Sep-20,UK,-2.689
Oct-20,UK,-2.813
Nov-20,UK,-3.110
Dec-20,UK,-3.038
Jan-21,UK,-3.128
Feb-21,UK,-3.098
Mar-21,UK,-2.867
Apr-21,UK,-0.942
May-21,UK,0.442
Jun-21,UK,1.911
