Time,Region,"Annual employment growth, %"
Jan-17,London,1.628
Feb-17,London,1.585
Mar-17,London,1.646
Apr-17,London,1.680
May-17,London,1.593
Jun-17,London,1.582
Jul-17,London,1.551
Aug-17,London,1.594
Sep-17,London,1.645
Oct-17,London,1.702
Nov-17,London,1.674
Dec-17,London,1.587
Jan-18,London,1.616
Feb-18,London,1.467
Mar-18,London,1.328
Apr-18,London,1.445
May-18,London,1.528
Jun-18,London,1.454
Jul-18,London,1.492
Aug-18,London,1.525
Sep-18,London,1.444
Oct-18,London,1.508
Nov-18,London,1.672
Dec-18,London,1.657
Jan-19,London,1.613
Feb-19,London,1.813
Mar-19,London,2.142
Apr-19,London,2.021
May-19,London,1.834
Jun-19,London,1.826
Jul-19,London,1.737
Aug-19,London,1.773
Sep-19,London,1.944
Oct-19,London,1.854
Nov-19,London,1.687
Dec-19,London,1.790
Jan-20,London,1.808
Feb-20,London,1.677
Mar-20,London,1.221
Apr-20,London,-0.820
May-20,London,-1.588
Jun-20,London,-2.081
Jul-20,London,-2.531
Aug-20,London,-3.210
Sep-20,London,-4.069
Oct-20,London,-4.652
Nov-20,London,-5.434
Dec-20,London,-5.570
Jan-21,London,-5.767
Feb-21,London,-5.925
Mar-21,London,-5.704
Apr-21,London,-3.428
May-21,London,-1.825
Jun-21,London,-0.021
Jan-17,UK,1.186
Feb-17,UK,1.218
Mar-17,UK,1.277
Apr-17,UK,1.390
May-17,UK,1.325
Jun-17,UK,1.304
Jul-17,UK,1.240
Aug-17,UK,1.358
Sep-17,UK,1.374
Oct-17,UK,1.388
Nov-17,UK,1.385
Dec-17,UK,1.370
Jan-18,UK,1.403
Feb-18,UK,1.310
Mar-18,UK,1.189
Apr-18,UK,1.174
May-18,UK,1.109
Jun-18,UK,1.048
Jul-18,UK,1.113
Aug-18,UK,1.132
Sep-18,UK,1.048
Oct-18,UK,1.059
Nov-18,UK,1.138
Dec-18,UK,1.041
Jan-19,UK,1.086
Feb-19,UK,1.185
Mar-19,UK,1.360
Apr-19,UK,1.228
May-19,UK,1.153
Jun-19,UK,1.094
Jul-19,UK,0.931
Aug-19,UK,0.920
Sep-19,UK,1.015
Oct-19,UK,0.936
Nov-19,UK,0.759
Dec-19,UK,0.826
Jan-20,UK,0.872
Feb-20,UK,0.754
Mar-20,UK,0.481
Apr-20,UK,-1.143
May-20,UK,-1.756
Jun-20,UK,-1.956
Jul-20,UK,-2.055
Aug-20,UK,-2.395
Sep-20,UK,-2.689
Oct-20,UK,-2.813
Nov-20,UK,-3.110
Dec-20,UK,-3.038
Jan-21,UK,-3.128
Feb-21,UK,-3.098
Mar-21,UK,-2.867
Apr-21,UK,-0.942
May-21,UK,0.442
Jun-21,UK,1.911
