Time,Region,"Annual employment growth, %"
Jan-17,North West,1.089
Feb-17,North West,1.141
Mar-17,North West,1.193
Apr-17,North West,1.377
May-17,North West,1.343
Jun-17,North West,1.359
Jul-17,North West,1.416
Aug-17,North West,1.586
Sep-17,North West,1.639
Oct-17,North West,1.681
Nov-17,North West,1.714
Dec-17,North West,1.720
Jan-18,North West,1.726
Feb-18,North West,1.632
Mar-18,North West,1.576
Apr-18,North West,1.407
May-18,North West,1.344
Jun-18,North West,1.301
Jul-18,North West,1.297
Aug-18,North West,1.362
Sep-18,North West,1.269
Oct-18,North West,1.232
Nov-18,North West,1.231
Dec-18,North West,1.105
Jan-19,North West,1.117
Feb-19,North West,1.222
Mar-19,North West,1.225
Apr-19,North West,1.286
May-19,North West,1.182
Jun-19,North West,1.053
Jul-19,North West,0.894
Aug-19,North West,0.786
Sep-19,North West,0.888
Oct-19,North West,0.819
Nov-19,North West,0.691
Dec-19,North West,0.747
Jan-20,North West,0.774
Feb-20,North West,0.666
Mar-20,North West,0.537
Apr-20,North West,-1.078
May-20,North West,-1.410
Jun-20,North West,-1.485
Jul-20,North West,-1.531
Aug-20,North West,-1.741
Sep-20,North West,-1.986
Oct-20,North West,-2.067
Nov-20,North West,-2.349
Dec-20,North West,-2.189
Jan-21,North West,-2.191
Feb-21,North West,-2.072
Mar-21,North West,-1.915
Apr-21,North West,-0.193
May-21,North West,1.039
Jun-21,North West,2.307
Jan-17,UK,1.186
Feb-17,UK,1.218
Mar-17,UK,1.277
Apr-17,UK,1.390
May-17,UK,1.325
Jun-17,UK,1.304
Jul-17,UK,1.240
Aug-17,UK,1.358
Sep-17,UK,1.374
Oct-17,UK,1.388
Nov-17,UK,1.385
Dec-17,UK,1.370
Jan-18,UK,1.403
Feb-18,UK,1.310
Mar-18,UK,1.189
Apr-18,UK,1.174
May-18,UK,1.109
Jun-18,UK,1.048
Jul-18,UK,1.113
Aug-18,UK,1.132
Sep-18,UK,1.048
Oct-18,UK,1.059
Nov-18,UK,1.138
Dec-18,UK,1.041
Jan-19,UK,1.086
Feb-19,UK,1.185
Mar-19,UK,1.360
Apr-19,UK,1.228
May-19,UK,1.153
Jun-19,UK,1.094
Jul-19,UK,0.931
Aug-19,UK,0.920
Sep-19,UK,1.015
Oct-19,UK,0.936
Nov-19,UK,0.759
Dec-19,UK,0.826
Jan-20,UK,0.872
Feb-20,UK,0.754
Mar-20,UK,0.481
Apr-20,UK,-1.143
May-20,UK,-1.756
Jun-20,UK,-1.956
Jul-20,UK,-2.055
Aug-20,UK,-2.395
Sep-20,UK,-2.689
Oct-20,UK,-2.813
Nov-20,UK,-3.110
Dec-20,UK,-3.038
Jan-21,UK,-3.128
Feb-21,UK,-3.098
Mar-21,UK,-2.867
Apr-21,UK,-0.942
May-21,UK,0.442
Jun-21,UK,1.911
