Time,Region,"Annual employment growth, %"
2017-01-01,Northern Ireland,1.469
2017-02-01,Northern Ireland,1.669
2017-03-01,Northern Ireland,1.694
2017-04-01,Northern Ireland,1.833
2017-05-01,Northern Ireland,1.931
2017-06-01,Northern Ireland,2.116
2017-07-01,Northern Ireland,2.131
2017-08-01,Northern Ireland,2.113
2017-09-01,Northern Ireland,2.073
2017-10-01,Northern Ireland,2.116
2017-11-01,Northern Ireland,1.907
2017-12-01,Northern Ireland,2.252
2018-01-01,Northern Ireland,2.335
2018-02-01,Northern Ireland,2.282
2018-03-01,Northern Ireland,2.122
2018-04-01,Northern Ireland,2.125
2018-05-01,Northern Ireland,1.995
2018-06-01,Northern Ireland,1.922
2018-07-01,Northern Ireland,1.971
2018-08-01,Northern Ireland,1.994
2018-09-01,Northern Ireland,1.968
2018-10-01,Northern Ireland,2.106
2018-11-01,Northern Ireland,2.118
2018-12-01,Northern Ireland,1.820
2019-01-01,Northern Ireland,2.088
2019-02-01,Northern Ireland,2.128
2019-03-01,Northern Ireland,2.350
2019-04-01,Northern Ireland,1.975
2019-05-01,Northern Ireland,1.891
2019-06-01,Northern Ireland,1.696
2019-07-01,Northern Ireland,1.902
2019-08-01,Northern Ireland,1.739
2019-09-01,Northern Ireland,1.599
2019-10-01,Northern Ireland,1.293
2019-11-01,Northern Ireland,1.304
2019-12-01,Northern Ireland,1.075
2020-01-01,Northern Ireland,1.058
2020-02-01,Northern Ireland,0.979
2020-03-01,Northern Ireland,0.688
2020-04-01,Northern Ireland,-0.360
2020-05-01,Northern Ireland,-0.684
2020-06-01,Northern Ireland,-0.783
2020-07-01,Northern Ireland,-0.891
2020-08-01,Northern Ireland,-1.427
2020-09-01,Northern Ireland,-1.464
2020-10-01,Northern Ireland,-1.553
2020-11-01,Northern Ireland,-1.871
2020-12-01,Northern Ireland,-1.684
2021-01-01,Northern Ireland,-1.764
2021-02-01,Northern Ireland,-1.833
2021-03-01,Northern Ireland,-1.573
2021-04-01,Northern Ireland,-0.139
2021-05-01,Northern Ireland,1.005
2021-06-01,Northern Ireland,2.552
2017-01-01,UK,1.186
2017-02-01,UK,1.218
2017-03-01,UK,1.277
2017-04-01,UK,1.390
2017-05-01,UK,1.325
2017-06-01,UK,1.304
2017-07-01,UK,1.240
2017-08-01,UK,1.358
2017-09-01,UK,1.374
2017-10-01,UK,1.388
2017-11-01,UK,1.385
2017-12-01,UK,1.370
2018-01-01,UK,1.403
2018-02-01,UK,1.310
2018-03-01,UK,1.189
2018-04-01,UK,1.174
2018-05-01,UK,1.109
2018-06-01,UK,1.048
2018-07-01,UK,1.113
2018-08-01,UK,1.132
2018-09-01,UK,1.048
2018-10-01,UK,1.059
2018-11-01,UK,1.138
2018-12-01,UK,1.041
2019-01-01,UK,1.086
2019-02-01,UK,1.185
2019-03-01,UK,1.360
2019-04-01,UK,1.228
2019-05-01,UK,1.153
2019-06-01,UK,1.094
2019-07-01,UK,0.931
2019-08-01,UK,0.920
2019-09-01,UK,1.015
2019-10-01,UK,0.936
2019-11-01,UK,0.759
2019-12-01,UK,0.826
2020-01-01,UK,0.872
2020-02-01,UK,0.754
2020-03-01,UK,0.481
2020-04-01,UK,-1.143
2020-05-01,UK,-1.756
2020-06-01,UK,-1.956
2020-07-01,UK,-2.055
2020-08-01,UK,-2.395
2020-09-01,UK,-2.689
2020-10-01,UK,-2.813
2020-11-01,UK,-3.110
2020-12-01,UK,-3.038
2021-01-01,UK,-3.128
2021-02-01,UK,-3.098
2021-03-01,UK,-2.867
2021-04-01,UK,-0.942
2021-05-01,UK,0.442
2021-06-01,UK,1.911
